Risk - Outcome,Category / Units,Morbidity / Mortality,Sex,All ages,0-6 Days,7-27 Days,28-364 Days,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80+ years
Ischaemic stroke,<600 METs,Both,Both,,,,,,,,,,"1.666
(1.412 to 1.990)","1.617
(1.383 to 1.911)","1.569
(1.356 to 1.835)","1.522
(1.328 to 1.762)","1.477
(1.302 to 1.693)","1.433
(1.276 to 1.625)","1.390
(1.250 to 1.561)","1.349
(1.225 to 1.499)","1.309
(1.200 to 1.440)","1.270
(1.176 to 1.382)","1.233
(1.153 to 1.328)","1.196
(1.129 to 1.275)"
Ischaemic stroke,"600-3,999 METs",Both,Both,,,,,,,,,,"1.255
(1.056 to 1.510)","1.238
(1.053 to 1.474)","1.221
(1.049 to 1.439)","1.205
(1.046 to 1.404)","1.189
(1.043 to 1.371)","1.173
(1.039 to 1.338)","1.157
(1.036 to 1.306)","1.142
(1.033 to 1.275)","1.127
(1.029 to 1.244)","1.112
(1.026 to 1.214)","1.097
(1.023 to 1.185)","1.082
(1.019 to 1.157)"
Ischaemic stroke,"4,000-7,999 METs",Both,Both,,,,,,,,,,"1.177
(0.879 to 1.531)","1.166
(0.885 to 1.493)","1.154
(0.892 to 1.456)","1.142
(0.899 to 1.420)","1.131
(0.906 to 1.385)","1.120
(0.913 to 1.351)","1.109
(0.920 to 1.317)","1.098
(0.927 to 1.285)","1.088
(0.934 to 1.253)","1.077
(0.941 to 1.222)","1.067
(0.948 to 1.192)","1.057
(0.955 to 1.162)"
Ischaemic stroke,"_8,000 METs",Both,Both,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Diabetes mellitus,<600 METs,Both,Both,,,,,,,,,,"1.387
(1.301 to 1.476)","1.387
(1.301 to 1.476)","1.387
(1.301 to 1.476)","1.387
(1.301 to 1.476)","1.387
(1.301 to 1.476)","1.387
(1.301 to 1.476)","1.387
(1.301 to 1.476)","1.387
(1.301 to 1.476)","1.387
(1.301 to 1.476)","1.387
(1.301 to 1.476)","1.387
(1.301 to 1.476)","1.387
(1.301 to 1.476)"
Diabetes mellitus,"600-3,999 METs",Both,Both,,,,,,,,,,"1.189
(1.120 to 1.264)","1.189
(1.120 to 1.264)","1.189
(1.120 to 1.264)","1.189
(1.120 to 1.264)","1.189
(1.120 to 1.264)","1.189
(1.120 to 1.264)","1.189
(1.120 to 1.264)","1.189
(1.120 to 1.264)","1.189
(1.120 to 1.264)","1.189
(1.120 to 1.264)","1.189
(1.120 to 1.264)","1.189
(1.120 to 1.264)"
Diabetes mellitus,"4,000-7,999 METs",Both,Both,,,,,,,,,,"1.037
(0.960 to 1.119)","1.037
(0.960 to 1.119)","1.037
(0.960 to 1.119)","1.037
(0.960 to 1.119)","1.037
(0.960 to 1.119)","1.037
(0.960 to 1.119)","1.037
(0.960 to 1.119)","1.037
(0.960 to 1.119)","1.037
(0.960 to 1.119)","1.037
(0.960 to 1.119)","1.037
(0.960 to 1.119)","1.037
(0.960 to 1.119)"
Diabetes mellitus,"_8,000 METs",Both,Both,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
High fasting plasma glucose (continuous),,,,,,,,,,,,,,,,,,,,,,,,
Ischaemic heart disease,mmol/L,Both,Both,,,,,,,,,,"1.471
(1.145 to 2.100)","1.373
(1.153 to 1.742)","1.274
(1.130 to 1.451)","1.220
(1.085 to 1.365)","1.211
(1.111 to 1.327)","1.201
(1.120 to 1.297)","1.192
(1.123 to 1.270)","1.182
(1.111 to 1.267)","1.173
(1.085 to 1.271)","1.168
(1.080 to 1.273)","1.168
(1.097 to 1.265)","1.169
(1.071 to 1.318)"
Ischaemic stroke,mmol/L,Both,Both,,,,,,,,,,"1.526
(1.110 to 2.228)","1.400
(1.101 to 1.856)","1.275
(1.077 to 1.561)","1.210
(1.043 to 1.441)","1.204
(1.074 to 1.384)","1.199
(1.094 to 1.335)","1.194
(1.107 to 1.303)","1.188
(1.101 to 1.297)","1.183
(1.069 to 1.309)","1.174
(1.056 to 1.310)","1.162
(1.075 to 1.295)","1.133
(1.055 to 1.333)"
Hemorrhagic stroke,mmol/L,Both,Both,,,,,,,,,,"1.506
(1.111 to 2.226)","1.382
(1.109 to 1.846)","1.258
(1.085 to 1.488)","1.196
(1.053 to 1.372)","1.193
(1.082 to 1.334)","1.191
(1.106 to 1.298)","1.189
(1.115 to 1.264)","1.187
(1.115 to 1.253)","1.184
(1.095 to 1.265)","1.175
(1.087 to 1.264)","1.158
(1.089 to 1.233)","1.116
(1.056 to 1.250)"
Chronic kidney disease due to hypertension,mmol/L,Both,Both,,,,,,,,,,"1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)"
Chronic kidney disease due to glomerulonephritis,mmol/L,Both,Both,,,,,,,,,,"1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)"
Chronic kidney disease due to other causes,mmol/L,Both,Both,,,,,,,,,,"1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)"
High fasting plasma glucose (categorical),,,,,,,,,,,,,,,,,,,,,,,,
Tuberculosis,Diabetic,Both,Both,,,,,,,,,,"2.730
(1.972 to 3.604)","2.801
(2.053 to 3.672)","2.871
(2.039 to 3.710)","2.798
(1.963 to 3.630)","2.581
(1.906 to 3.275)","2.364
(1.813 to 2.946)","2.147
(1.684 to 2.677)","1.930
(1.485 to 2.441)","1.713
(1.231 to 2.326)","1.598
(1.123 to 2.242)","1.587
(1.182 to 2.116)","1.559
(1.180 to 2.179)"
Tuberculosis,Not diabetic,Both,Both,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Peripheral vascular disease,Diabetic,Both,Both,,,,,,,,,,"8.264
(5.990 to 9.304)","6.651
(5.371 to 7.454)","5.039
(4.433 to 5.676)","4.138
(3.560 to 4.767)","3.947
(3.446 to 4.506)","3.756
(3.345 to 4.236)","3.565
(3.211 to 3.973)","3.374
(3.078 to 3.716)","3.183
(2.918 to 3.467)","2.992
(2.758 to 3.250)","2.801
(2.556 to 3.051)","2.324
(1.976 to 2.672)"
Peripheral vascular disease,Not diabetic,Both,Both,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
High total cholesterol,,,,,,,,,,,,,,,,,,,,,,,,
Ischaemic heart disease,mmol/L,Both,Both,,,,,,,,,,"2.016
(1.682 to 2.544)","2.027
(1.768 to 2.354)","2.038
(1.829 to 2.278)","1.971
(1.774 to 2.192)","1.828
(1.675 to 2.006)","1.685
(1.560 to 1.818)","1.541
(1.446 to 1.648)","1.398
(1.306 to 1.495)","1.254
(1.141 to 1.373)","1.193
(1.088 to 1.312)","1.213
(1.124 to 1.321)","1.262
(1.109 to 1.467)"
Ischaemic stroke,mmol/L,Both,Both,,,,,,,,,,"1.670
(1.333 to 2.341)","1.626
(1.352 to 2.042)","1.583
(1.342 to 1.850)","1.518
(1.285 to 1.760)","1.434
(1.241 to 1.638)","1.350
(1.210 to 1.515)","1.265
(1.164 to 1.391)","1.181
(1.109 to 1.300)","1.096
(1.043 to 1.225)","1.062
(1.008 to 1.193)","1.077
(1.012 to 1.216)","1.116
(1.014 to 1.353)"
High systolic blood pressure,,,,,,,,,,,,,,,,,,,,,,,,
Rheumatic heart disease,10 mmHg,Both,Both,,,,,,,,,,"1.631
(1.173 to 2.307)","1.474
(1.170 to 1.900)","1.317
(1.141 to 1.575)","1.229
(1.089 to 1.424)","1.211
(1.100 to 1.370)","1.193
(1.107 to 1.328)","1.175
(1.101 to 1.289)","1.157
(1.086 to 1.266)","1.139
(1.055 to 1.249)","1.127
(1.048 to 1.241)","1.120
(1.060 to 1.239)","1.104
(1.040 to 1.284)"
Ischaemic heart disease,10 mmHg,Both,Both,,,,,,,,,,"1.972
(1.436 to 2.598)","1.818
(1.458 to 2.207)","1.665
(1.458 to 1.911)","1.568
(1.398 to 1.799)","1.527
(1.393 to 1.706)","1.487
(1.385 to 1.620)","1.446
(1.368 to 1.536)","1.405
(1.332 to 1.489)","1.364
(1.255 to 1.456)","1.330
(1.222 to 1.424)","1.303
(1.225 to 1.404)","1.266
(1.133 to 1.437)"
Ischaemic stroke,10 mmHg,Both,Both,,,,,,,,,,"1.854
(1.394 to 2.590)","1.774
(1.426 to 2.253)","1.694
(1.404 to 2.036)","1.628
(1.353 to 1.950)","1.574
(1.359 to 1.825)","1.521
(1.360 to 1.700)","1.468
(1.344 to 1.598)","1.414
(1.301 to 1.524)","1.361
(1.214 to 1.490)","1.318
(1.168 to 1.452)","1.284
(1.177 to 1.390)","1.201
(1.108 to 1.370)"
Hemorrhagic stroke,10 mmHg,Both,Both,,,,,,,,,,"2.134
(1.554 to 2.919)","2.050
(1.593 to 2.661)","1.966
(1.588 to 2.465)","1.874
(1.491 to 2.303)","1.775
(1.481 to 2.117)","1.676
(1.446 to 1.934)","1.577
(1.399 to 1.755)","1.478
(1.330 to 1.619)","1.379
(1.207 to 1.540)","1.323
(1.162 to 1.495)","1.311
(1.192 to 1.450)","1.279
(1.126 to 1.519)"
Cardiomyopathy and myocarditis,10 mmHg,Both,Both,,,,,,,,,,"1.755
(1.265 to 2.424)","1.605
(1.290 to 2.012)","1.455
(1.277 to 1.642)","1.365
(1.229 to 1.511)","1.335
(1.222 to 1.449)","1.306
(1.218 to 1.394)","1.276
(1.211 to 1.342)","1.247
(1.182 to 1.304)","1.217
(1.131 to 1.285)","1.193
(1.116 to 1.264)","1.175
(1.119 to 1.238)","1.128
(1.071 to 1.237)"
Atrial fibrillation and flutter,10 mmHg,Both,Both,,,,,,,,,,"1.760
(1.336 to 2.430)","1.631
(1.377 to 2.027)","1.503
(1.396 to 1.644)","1.423
(1.340 to 1.505)","1.392
(1.328 to 1.458)","1.361
(1.313 to 1.411)","1.330
(1.293 to 1.369)","1.299
(1.266 to 1.333)","1.268
(1.233 to 1.309)","1.237
(1.201 to 1.277)","1.208
(1.176 to 1.238)","1.134
(1.092 to 1.185)"
Aortic aneurysm,10 mmHg,Both,Both,,,,,,,,,,"1.544
(1.258 to 2.169)","1.469
(1.290 to 1.818)","1.394
(1.299 to 1.538)","1.345
(1.226 to 1.452)","1.321
(1.232 to 1.405)","1.296
(1.229 to 1.362)","1.272
(1.218 to 1.327)","1.248
(1.191 to 1.299)","1.223
(1.160 to 1.286)","1.200
(1.137 to 1.262)","1.177
(1.126 to 1.230)","1.119
(1.071 to 1.185)"
Peripheral vascular disease,10 mmHg,Both,Both,,,,,,,,,,"1.728
(1.203 to 2.430)","1.491
(1.206 to 1.871)","1.254
(1.182 to 1.330)","1.138
(1.019 to 1.263)","1.142
(1.047 to 1.243)","1.146
(1.071 to 1.224)","1.150
(1.094 to 1.209)","1.154
(1.110 to 1.199)","1.159
(1.113 to 1.207)","1.152
(1.104 to 1.201)","1.136
(1.097 to 1.176)","1.095
(1.054 to 1.155)"
Endocarditis,10 mmHg,Both,Both,,,,,,,,,,"1.755
(1.265 to 2.424)","1.605
(1.290 to 2.012)","1.455
(1.277 to 1.642)","1.365
(1.229 to 1.511)","1.335
(1.222 to 1.449)","1.306
(1.218 to 1.394)","1.276
(1.211 to 1.342)","1.247
(1.182 to 1.304)","1.217
(1.131 to 1.285)","1.193
(1.116 to 1.264)","1.175
(1.119 to 1.238)","1.128
(1.071 to 1.237)"
Other cardiovascular and circulatory diseases,10 mmHg,Both,Both,,,,,,,,,,"1.744
(1.339 to 2.397)","1.624
(1.382 to 2.006)","1.504
(1.405 to 1.626)","1.427
(1.354 to 1.499)","1.395
(1.336 to 1.452)","1.363
(1.317 to 1.406)","1.330
(1.296 to 1.365)","1.298
(1.266 to 1.332)","1.265
(1.231 to 1.303)","1.235
(1.201 to 1.271)","1.207
(1.176 to 1.235)","1.137
(1.095 to 1.188)"
Chronic kidney disease due to diabetes mellitus,10 mmHg,Both,Both,,,,,,,,,,"1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)"
Chronic kidney disease due to glomerulonephritis,10 mmHg,Both,Both,,,,,,,,,,"1.281
(1.181 to 1.383)","1.281
(1.181 to 1.383)","1.281
(1.181 to 1.383)","1.281
(1.181 to 1.383)","1.281
(1.181 to 1.383)","1.281
(1.181 to 1.383)","1.281
(1.181 to 1.383)","1.281
(1.181 to 1.383)","1.281
(1.181 to 1.383)","1.281
(1.181 to 1.383)","1.281
(1.181 to 1.383)","1.281
(1.181 to 1.383)"
Chronic kidney disease due to other causes,10 mmHg,Both,Both,,,,,,,,,,"1.282
(1.181 to 1.396)","1.282
(1.181 to 1.396)","1.282
(1.181 to 1.396)","1.282
(1.181 to 1.396)","1.282
(1.181 to 1.396)","1.282
(1.181 to 1.396)","1.282
(1.181 to 1.396)","1.282
(1.181 to 1.396)","1.282
(1.181 to 1.396)","1.282
(1.181 to 1.396)","1.282
(1.181 to 1.396)","1.282
(1.181 to 1.396)"
High body-mass index,,,,,,,,,,,,,,,,,,,,,,,,
Oesophageal cancer,5 kg/m_,Both,Male,,,,,,,,,,"1.391
(1.076 to 1.758)","1.391
(1.076 to 1.758)","1.391
(1.076 to 1.758)","1.391
(1.076 to 1.758)","1.391
(1.076 to 1.758)","1.391
(1.076 to 1.758)","1.391
(1.076 to 1.758)","1.391
(1.076 to 1.758)","1.391
(1.076 to 1.758)","1.391
(1.076 to 1.758)","1.391
(1.076 to 1.758)","1.391
(1.076 to 1.758)"
Oesophageal cancer,5 kg/m_,Both,Female,,,,,,,,,,"1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)"
Colon and rectum cancer,5 kg/m_,Both,Male,,,,,,,,,,"1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)"
Colon and rectum cancer,5 kg/m_,Both,Female,,,,,,,,,,"1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)"
Gallbladder and biliary tract cancer,5 kg/m_,Both,Male,,,,,,,,,,"1.155
(1.033 to 1.282)","1.155
(1.033 to 1.282)","1.155
(1.033 to 1.282)","1.155
(1.033 to 1.282)","1.155
(1.033 to 1.282)","1.155
(1.033 to 1.282)","1.155
(1.033 to 1.282)","1.155
(1.033 to 1.282)","1.155
(1.033 to 1.282)","1.155
(1.033 to 1.282)","1.155
(1.033 to 1.282)","1.155
(1.033 to 1.282)"
Gallbladder and biliary tract cancer,5 kg/m_,Both,Female,,,,,,,,,,"1.344
(1.223 to 1.478)","1.344
(1.223 to 1.478)","1.344
(1.223 to 1.478)","1.344
(1.223 to 1.478)","1.344
(1.223 to 1.478)","1.344
(1.223 to 1.478)","1.344
(1.223 to 1.478)","1.344
(1.223 to 1.478)","1.344
(1.223 to 1.478)","1.344
(1.223 to 1.478)","1.344
(1.223 to 1.478)","1.344
(1.223 to 1.478)"
Pancreatic cancer,5 kg/m_,Both,Male,,,,,,,,,,"1.071
(0.999 to 1.154)","1.071
(0.999 to 1.154)","1.071
(0.999 to 1.154)","1.071
(0.999 to 1.154)","1.071
(0.999 to 1.154)","1.071
(0.999 to 1.154)","1.071
(0.999 to 1.154)","1.071
(0.999 to 1.154)","1.071
(0.999 to 1.154)","1.071
(0.999 to 1.154)","1.071
(0.999 to 1.154)","1.071
(0.999 to 1.154)"
Pancreatic cancer,5 kg/m_,Both,Female,,,,,,,,,,"1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)"
"Breast cancer, post-menopausal",5 kg/m_,Both,Both,,,,,,,,,,"1.149
(1.036 to 1.268)","1.149
(1.036 to 1.268)","1.149
(1.036 to 1.268)","1.149
(1.036 to 1.268)","1.149
(1.036 to 1.268)","1.348
(1.128 to 1.615)","1.348
(1.128 to 1.615)","1.348
(1.128 to 1.615)","1.348
(1.128 to 1.615)","1.348
(1.128 to 1.615)","1.348
(1.128 to 1.615)","1.348
(1.128 to 1.615)"
Uterine cancer,5 kg/m_,Both,Both,,,,,,,,,,"1.613
(1.543 to 1.681)","1.613
(1.543 to 1.681)","1.613
(1.543 to 1.681)","1.613
(1.543 to 1.681)","1.613
(1.543 to 1.681)","1.613
(1.543 to 1.681)","1.613
(1.543 to 1.681)","1.613
(1.543 to 1.681)","1.613
(1.543 to 1.681)","1.613
(1.543 to 1.681)","1.613
(1.543 to 1.681)","1.613
(1.543 to 1.681)"
Ovarian cancer,5 kg/m_,Both,Both,,,,,,,,,,"1.038
(0.998 to 1.077)","1.038
(0.998 to 1.077)","1.038
(0.998 to 1.077)","1.038
(0.998 to 1.077)","1.038
(0.998 to 1.077)","1.038
(0.998 to 1.077)","1.038
(0.998 to 1.077)","1.038
(0.998 to 1.077)","1.038
(0.998 to 1.077)","1.038
(0.998 to 1.077)","1.038
(0.998 to 1.077)","1.038
(0.998 to 1.077)"
Kidney cancer,5 kg/m_,Both,Male,,,,,,,,,,"1.240
(1.171 to 1.313)","1.240
(1.171 to 1.313)","1.240
(1.171 to 1.313)","1.240
(1.171 to 1.313)","1.240
(1.171 to 1.313)","1.240
(1.171 to 1.313)","1.240
(1.171 to 1.313)","1.240
(1.171 to 1.313)","1.240
(1.171 to 1.313)","1.240
(1.171 to 1.313)","1.240
(1.171 to 1.313)","1.240
(1.171 to 1.313)"
Kidney cancer,5 kg/m_,Both,Female,,,,,,,,,,"1.320
(1.254 to 1.395)","1.320
(1.254 to 1.395)","1.320
(1.254 to 1.395)","1.320
(1.254 to 1.395)","1.320
(1.254 to 1.395)","1.320
(1.254 to 1.395)","1.320
(1.254 to 1.395)","1.320
(1.254 to 1.395)","1.320
(1.254 to 1.395)","1.320
(1.254 to 1.395)","1.320
(1.254 to 1.395)","1.320
(1.254 to 1.395)"
Thyroid cancer,5 kg/m_,Both,Male,,,,,,,,,,"1.221
(1.067 to 1.382)","1.221
(1.067 to 1.382)","1.221
(1.067 to 1.382)","1.221
(1.067 to 1.382)","1.221
(1.067 to 1.382)","1.221
(1.067 to 1.382)","1.221
(1.067 to 1.382)","1.221
(1.067 to 1.382)","1.221
(1.067 to 1.382)","1.221
(1.067 to 1.382)","1.221
(1.067 to 1.382)","1.221
(1.067 to 1.382)"
Thyroid cancer,5 kg/m_,Both,Female,,,,,,,,,,"1.136
(1.094 to 1.178)","1.136
(1.094 to 1.178)","1.136
(1.094 to 1.178)","1.136
(1.094 to 1.178)","1.136
(1.094 to 1.178)","1.136
(1.094 to 1.178)","1.136
(1.094 to 1.178)","1.136
(1.094 to 1.178)","1.136
(1.094 to 1.178)","1.136
(1.094 to 1.178)","1.136
(1.094 to 1.178)","1.136
(1.094 to 1.178)"
Leukaemia,5 kg/m_,Both,Male,,,,,,,,,,"1.086
(1.053 to 1.119)","1.086
(1.053 to 1.119)","1.086
(1.053 to 1.119)","1.086
(1.053 to 1.119)","1.086
(1.053 to 1.119)","1.086
(1.053 to 1.119)","1.086
(1.053 to 1.119)","1.086
(1.053 to 1.119)","1.086
(1.053 to 1.119)","1.086
(1.053 to 1.119)","1.086
(1.053 to 1.119)","1.086
(1.053 to 1.119)"
Leukaemia,5 kg/m_,Both,Female,,,,,,,,,,"1.131
(1.061 to 1.208)","1.131
(1.061 to 1.208)","1.131
(1.061 to 1.208)","1.131
(1.061 to 1.208)","1.131
(1.061 to 1.208)","1.131
(1.061 to 1.208)","1.131
(1.061 to 1.208)","1.131
(1.061 to 1.208)","1.131
(1.061 to 1.208)","1.131
(1.061 to 1.208)","1.131
(1.061 to 1.208)","1.131
(1.061 to 1.208)"
Ischaemic heart disease,5 kg/m_,Both,Both,,,,,,,,,,"2.274
(1.257 to 3.686)","2.018
(1.296 to 3.109)","1.724
(1.532 to 1.932)","1.599
(1.418 to 1.785)","1.567
(1.457 to 1.680)","1.520
(1.417 to 1.631)","1.466
(1.372 to 1.557)","1.414
(1.324 to 1.504)","1.364
(1.287 to 1.448)","1.319
(1.242 to 1.400)","1.274
(1.187 to 1.365)","1.170
(1.091 to 1.253)"
Ischaemic stroke,5 kg/m_,Both,Both,,,,,,,,,,"2.472
(1.399 to 3.980)","2.235
(1.454 to 3.334)","1.979
(1.694 to 2.313)","1.826
(1.600 to 2.076)","1.733
(1.581 to 1.898)","1.635
(1.479 to 1.796)","1.543
(1.441 to 1.653)","1.455
(1.345 to 1.566)","1.380
(1.310 to 1.458)","1.304
(1.233 to 1.376)","1.228
(1.159 to 1.305)","1.068
(0.992 to 1.143)"
Hemorrhagic stroke,5 kg/m_,Both,Both,,,,,,,,,,"3.066
(1.750 to 5.337)","2.913
(1.860 to 4.399)","2.597
(1.974 to 3.387)","2.389
(1.869 to 3.002)","2.199
(1.821 to 2.673)","1.996
(1.625 to 2.419)","1.805
(1.573 to 2.060)","1.665
(1.437 to 1.933)","1.523
(1.377 to 1.684)","1.410
(1.265 to 1.571)","1.295
(1.162 to 1.439)","1.070
(0.928 to 1.220)"
Hypertensive heart disease,5 kg/m_,Both,Both,,,,,,,,,,"3.122
(1.588 to 5.502)","3.000
(1.748 to 4.912)","2.769
(1.814 to 4.217)","2.573
(1.741 to 3.647)","2.407
(1.716 to 3.296)","2.281
(1.597 to 3.189)","2.159
(1.499 to 3.039)","2.035
(1.451 to 2.822)","1.955
(1.342 to 2.700)","1.860
(1.296 to 2.617)","1.792
(1.169 to 2.553)","1.697
(1.067 to 2.620)"
Diabetes mellitus,5 kg/m_,Both,Both,,,,,,,,,,"3.547
(2.308 to 5.228)","3.455
(2.509 to 4.693)","3.349
(2.803 to 3.919)","3.160
(2.694 to 3.700)","2.864
(2.450 to 3.314)","2.624
(2.224 to 3.038)","2.417
(2.086 to 2.779)","2.215
(1.865 to 2.608)","2.046
(1.724 to 2.382)","1.896
(1.596 to 2.229)","1.740
(1.444 to 2.079)","1.461
(1.207 to 1.760)"
Chronic kidney disease due to diabetes mellitus,5 kg/m_,Both,Both,,,,,,,,,,,,"1.746
(1.053 to 2.748)","1.746
(1.053 to 2.748)","1.746
(1.053 to 2.748)","1.746
(1.053 to 2.748)","1.746
(1.053 to 2.748)","2.036
(1.298 to 3.056)","2.036
(1.298 to 3.056)","1.621
(1.061 to 2.380)","1.621
(1.061 to 2.380)","1.431
(0.800 to 2.404)"
Chronic kidney disease due to hypertension,5 kg/m_,Both,Both,,,,,,,,,,,,"1.763
(1.088 to 2.760)","1.763
(1.088 to 2.760)","1.763
(1.088 to 2.760)","1.763
(1.088 to 2.760)","1.763
(1.088 to 2.760)","2.044
(1.302 to 3.089)","2.044
(1.302 to 3.089)","1.605
(1.066 to 2.327)","1.605
(1.066 to 2.327)","1.437
(0.828 to 2.426)"
Chronic kidney disease due to glomerulonephritis,5 kg/m_,Both,Both,,,,,,,,,,,,"1.742
(1.019 to 2.791)","1.742
(1.019 to 2.791)","1.742
(1.019 to 2.791)","1.742
(1.019 to 2.791)","1.742
(1.019 to 2.791)","2.044
(1.254 to 3.155)","2.044
(1.254 to 3.155)","1.604
(1.108 to 2.255)","1.604
(1.108 to 2.255)","1.452
(0.851 to 2.350)"
Chronic kidney disease due to other causes,5 kg/m_,Both,Both,,,,,,,,,,,,"1.732
(1.047 to 2.684)","1.732
(1.047 to 2.684)","1.732
(1.047 to 2.684)","1.732
(1.047 to 2.684)","1.732
(1.047 to 2.684)","2.032
(1.214 to 3.105)","2.032
(1.214 to 3.105)","1.625
(1.068 to 2.368)","1.625
(1.068 to 2.368)","1.433
(0.776 to 2.345)"
Low back pain,5 kg/m_,Morbidity,Both,,,,,,,,,,"1.100
(1.073 to 1.126)","1.100
(1.073 to 1.127)","1.101
(1.076 to 1.128)","1.100
(1.074 to 1.126)","1.099
(1.075 to 1.123)","1.100
(1.075 to 1.128)","1.100
(1.075 to 1.126)","1.101
(1.077 to 1.126)","1.100
(1.075 to 1.126)","1.100
(1.076 to 1.124)","1.100
(1.075 to 1.124)","1.100
(1.074 to 1.125)"
Low bone mineral density,,,,,,,,,,,,,,,,,,,,,,,,
